question_text,option_a,option_b,option_c,option_d,correct_index,subject
The concept of Rule of Law in India is borrowed from which country?,USA,UK,France,Germany,1,UPSC
Which Schedule of the Indian Constitution deals with allocation of seats in Rajya Sabha?,Fourth,First,Seventh,Tenth,0,UPSC
Who was the first Indian to be elected to the British House of Commons?,Dadabhai Naoroji,Gopal Krishna Gokhale,Surendranath Banerjee,Madan Mohan Malaviya,0,UPSC
Which river system forms the largest delta in the world?,Indus,Ganga-Brahmaputra,Mekong,Nile,1,UPSC
What does the term Blue Economy primarily relate to?,Marine resource based development,Space technology,Sustainable agriculture,Digital economy,0,UPSC
Which Fundamental Right is available to both citizens and foreigners?,Right to Equality,Right to Freedom,Right against Exploitation,Right to Religion,2,UPSC
The Battle of Buxar was fought in which year?,1757,1764,1772,1784,1,UPSC
Which Indian state has the largest forest cover by area?,Madhya Pradesh,Arunachal Pradesh,Chhattisgarh,Odisha,0,UPSC
What is the main objective of the National Green Tribunal?,Forest conservation,Environmental justice,Wildlife protection,Climate policy framing,1,UPSC
Who presides over a joint sitting of the Indian Parliament?,Prime Minister,President,Vice-President,Speaker of Lok Sabha,3,UPSC
Which type of soil is most suitable for tea cultivation?,Alluvial,Black,Laterite,Red,2,UPSC
The doctrine of Basic Structure was established in which case?,Golaknath Case,Kesavananda Bharati Case,Minerva Mills Case,Maneka Gandhi Case,1,UPSC
Which Mughal ruler introduced the Mansabdari system?,Babur,Humayun,Akbar,Jahangir,2,UPSC
Which gas is mainly responsible for ozone layer depletion?,Carbon dioxide,Methane,Chlorofluorocarbons,Nitrous oxide,2,UPSC
Which constitutional body audits the accounts of the Union and States?,Finance Commission,CAG,UPSC,Election Commission,1,UPSC
What is the primary purpose of Minimum Support Price?,Control inflation,Support farmers’ income,Increase exports,Reduce imports,1,UPSC
Which ancient text is considered the earliest source of Indian philosophy?,Upanishads,Vedas,Puranas,Smritis,1,UPSC
Which ocean current warms the western coast of Europe?,Canary Current,Gulf Stream,Labrador Current,Benguela Current,1,UPSC
The term Fiscal Deficit refers to?,Revenue expenditure minus revenue receipts,Total expenditure minus total receipts excluding borrowings,Total debt of government,Budget surplus,1,UPSC
Which article deals with the impeachment of the President?,Article 52,Article 61,Article 72,Article 75,1,UPSC
Who among the following founded the Brahmo Samaj?,Raja Ram Mohan Roy,Swami Vivekananda,Dayanand Saraswati,Ishwar Chandra Vidyasagar,0,UPSC
Which Indian river is known as Dakshin Ganga?,Krishna,Kaveri,Godavari,Mahanadi,2,UPSC
What does the term Carbon Neutral mean?,Zero carbon emissions,Net zero carbon emissions,Low carbon emissions,Carbon free energy only,1,UPSC
Which Schedule lists the recognized languages of India?,Eighth,Seventh,Ninth,Tenth,0,UPSC
Who was the Viceroy during the Quit India Movement?,Lord Irwin,Lord Linlithgow,Lord Wavell,Lord Mountbatten,1,UPSC
Which biome has the highest biodiversity?,Tundra,Desert,Tropical rainforest,Taiga,2,UPSC
The term Repo Rate is associated with?,Fiscal policy,Monetary policy,Trade policy,Industrial policy,1,UPSC
Which satellite navigation system is developed by India?,GPS,GLONASS,NavIC,Galileo,2,UPSC
Which ancient university was located in Bihar?,Takshashila,Nalanda,Vallabhi,Vikramshila,1,UPSC
The Preamble of the Indian Constitution declares India as?,Federal State,Unitary State,Sovereign Socialist Secular Democratic Republic,Welfare State,2,UPSC
Which soil type is formed due to weathering of basalt rocks?,Red soil,Black soil,Laterite soil,Alluvial soil,1,UPSC
Who introduced Permanent Settlement in India?,Warren Hastings,Cornwallis,William Bentinck,Dalhousie,1,UPSC
Which greenhouse gas has the highest global warming potential?,Carbon dioxide,Methane,Nitrous oxide,Ozone,2,UPSC
Which article provides for Emergency due to war or external aggression?,Article 352,Article 356,Article 360,Article 370,0,UPSC
The term Demographic Dividend refers to?,Increase in population,Decline in fertility rate,Economic growth due to young population,Aging population benefit,2,UPSC
Which Indian national movement was launched in 1920?,Quit India,Non-Cooperation,Civil Disobedience,Swadeshi,1,UPSC
Which layer of the atmosphere contains ozone?,Troposphere,Stratosphere,Mesosphere,Thermosphere,1,UPSC
Who was the first Chairman of the Planning Commission?,Jawaharlal Nehru,Mahalanobis,Rajendra Prasad,Indira Gandhi,0,UPSC
Which river drains into the Arabian Sea?,Godavari,Mahanadi,Narmada,Hooghly,2,UPSC
What is the primary function of the Finance Commission?,Conduct elections,Audit accounts,Recommend revenue distribution,Frame monetary policy,2,UPSC
Which classical dance form originated in Kerala?,Kuchipudi,Mohiniyattam,Bharatanatyam,Odissi,1,UPSC
Which international organization releases the Human Development Index?,World Bank,UNDP,IMF,WHO,1,UPSC
Which part of the Constitution contains Directive Principles?,Part III,Part IV,Part V,Part VI,1,UPSC
Who wrote the book Discovery of India?,Mahatma Gandhi,Jawaharlal Nehru,B R Ambedkar,Sardar Patel,1,UPSC
